area_sqft,bedrooms,bathrooms,balconies,location,age_years,parking,furnishing,floor,total_floors,distance_city_km,price_lakhs
3066,2,3,0.0,Bandra,22,1.0,Semi-Furnished,8,24,20.3,15.97
2209,3,3,3.0,Powai,9,1.0,Semi-Furnished,16,24,4.5,19.97
587,2,2,1.0,Andheri,8,1.0,Semi-Furnished,2,8,21.6,11.26
1904,4,3,1.0,Nashik,5,2.0,Furnished,10,26,27.2,10.2
2084,2,3,2.0,Worli,11,0.0,Unfurnished,5,6,13.1,14.96
1326,2,2,0.0,Borivali,20,2.0,Furnished,6,9,0.9,17.76
1748,3,3,1.0,Worli,12,1.0,Furnished,18,26,25.1,23.77
2210,3,2,1.0,Worli,0,1.0,Semi-Furnished,7,19,2.1,26.61
578,3,3,1.0,Nashik,8,1.0,Unfurnished,8,17,17.6,10.0
946,3,3,1.0,Thane,4,1.0,Unfurnished,16,18,33.1,11.03
3161,3,3,1.0,Borivali,12,1.0,Furnished,27,30,40.0,12.77
1667,2,2,0.0,Bandra,27,1.0,Unfurnished,0,8,15.1,15.28
2590,1,2,0.0,Borivali,29,0.0,Furnished,9,10,1.3,10.0
2437,2,2,0.0,Andheri,30,1.0,Semi-Furnished,15,16,20.0,10.0
2384,1,1,3.0,Navi Mumbai,3,1.0,Semi-Furnished,25,26,11.4,10.0
1888,2,2,1.0,Navi Mumbai,15,1.0,Semi-Furnished,4,17,35.8,10.0
2140,3,4,1.0,Pune,1,1.0,Unfurnished,12,23,28.6,12.37
3366,2,3,1.0,Navi Mumbai,15,1.0,Semi-Furnished,1,25,16.5,10.57
3875,3,3,2.0,Dadar,17,1.0,Furnished,3,27,30.6,16.73
1324,3,3,0.0,Worli,23,1.0,Unfurnished,8,15,14.0,22.6
2810,3,3,1.0,Navi Mumbai,10,1.0,Furnished,3,15,21.1,13.24
3892,3,4,2.0,Borivali,1,1.0,Furnished,1,4,37.0,13.99
427,2,2,1.0,Powai,14,1.0,Unfurnished,1,4,8.4,14.66
3225,2,1,2.0,Andheri,13,1.0,Semi-Furnished,7,16,12.9,11.55
2189,3,3,2.0,Andheri,19,0.0,Unfurnished,3,23,35.5,10.0
3884,3,4,2.0,Bandra,3,1.0,Semi-Furnished,21,26,18.7,27.16
2482,2,3,,Borivali,19,0.0,Furnished,9,13,13.1,10.0
3418,2,3,0.0,Pune,12,0.0,Furnished,15,18,,10.0
997,3,3,0.0,Worli,22,1.0,Furnished,24,25,17.0,24.46
911,3,3,2.0,Borivali,30,1.0,Unfurnished,7,11,20.3,12.84
3736,2,3,3.0,Thane,7,1.0,Semi-Furnished,2,6,16.6,10.59
2295,2,2,3.0,Powai,23,2.0,Unfurnished,28,28,11.5,17.81
2410,4,4,1.0,Dadar,3,0.0,Furnished,10,17,15.1,19.09
1012,1,2,2.0,Thane,30,0.0,Unfurnished,3,6,25.9,10.0
1216,4,3,1.0,Thane,14,0.0,Unfurnished,4,9,35.7,10.0
3346,2,2,2.0,Thane,23,0.0,Unfurnished,0,11,26.2,10.0
1492,3,3,1.0,Andheri,24,1.0,Unfurnished,7,7,26.0,13.64
2503,2,2,0.0,Andheri,18,1.0,Unfurnished,12,14,32.8,10.64
1539,1,1,0.0,Powai,11,1.0,Unfurnished,18,25,7.0,10.09
1348,4,4,3.0,Pune,23,0.0,Furnished,5,23,12.4,10.0
997,3,3,,Pune,14,1.0,Furnished,26,28,2.5,11.52
3747,5,5,1.0,Dadar,20,0.0,Unfurnished,4,26,14.3,20.94
3785,2,2,1.0,Navi Mumbai,19,1.0,Furnished,2,11,40.0,10.0
814,4,4,1.0,Powai,14,1.0,Semi-Furnished,0,3,13.5,20.06
1672,4,4,3.0,Worli,3,0.0,Furnished,2,6,34.5,23.97
2430,3,3,0.0,Pune,9,1.0,Unfurnished,8,24,3.9,11.24
1780,2,2,0.0,Pune,29,1.0,Semi-Furnished,9,11,18.7,10.0
2996,3,3,2.0,Nashik,16,1.0,Semi-Furnished,7,22,14.4,10.0
1337,3,2,1.0,Dadar,19,1.0,Unfurnished,15,15,8.5,18.96
611,4,4,0.0,Nashik,8,1.0,Semi-Furnished,8,27,15.2,10.0
1613,2,2,0.0,Andheri,21,0.0,Furnished,8,16,26.2,10.0
2552,2,3,1.0,Powai,15,0.0,Furnished,17,28,19.9,10.13
1050,2,2,1.0,Borivali,6,1.0,Semi-Furnished,8,9,33.9,10.0
3338,3,3,0.0,Andheri,4,2.0,Semi-Furnished,18,24,36.2,18.08
444,5,5,1.0,Navi Mumbai,12,1.0,Furnished,15,17,19.5,19.33
643,1,1,2.0,Borivali,17,1.0,Unfurnished,7,7,39.3,10.0
2232,3,3,2.0,Bandra,8,1.0,Unfurnished,1,8,3.3,24.07
2244,4,4,2.0,Pune,7,1.0,Semi-Furnished,1,11,11.4,15.56
1461,1,1,1.0,Worli,8,0.0,Unfurnished,3,6,17.0,10.0
1331,2,2,1.0,Thane,9,1.0,Semi-Furnished,4,29,23.5,10.0
651,3,3,3.0,Pune,22,2.0,Unfurnished,4,8,22.1,13.78
2787,3,2,2.0,Pune,15,1.0,Semi-Furnished,11,19,22.9,10.89
1764,1,1,1.0,Thane,14,2.0,Semi-Furnished,5,18,35.9,10.0
827,4,4,1.0,Powai,5,0.0,Furnished,1,17,11.5,20.04
1839,3,3,1.0,Worli,16,1.0,Semi-Furnished,20,20,32.8,21.97
3774,4,4,1.0,Andheri,29,1.0,Semi-Furnished,10,28,22.5,16.69
1340,4,4,1.0,Nashik,23,0.0,Furnished,26,30,19.9,10.0
3621,4,4,0.0,Powai,13,0.0,Semi-Furnished,17,27,12.3,17.4
1331,3,3,3.0,Thane,9,1.0,Semi-Furnished,10,15,12.5,13.15
1069,2,2,1.0,Worli,10,1.0,Unfurnished,18,23,15.8,19.96
1338,3,3,1.0,Andheri,0,1.0,Semi-Furnished,2,7,30.7,14.63
1564,2,3,1.0,Nashik,0,0.0,Semi-Furnished,6,27,19.3,10.0
834,3,3,2.0,Borivali,24,1.0,Semi-Furnished,7,7,6.6,14.82
2516,2,2,2.0,Borivali,26,0.0,Furnished,4,5,30.5,10.0
1600,3,3,0.0,Bandra,30,0.0,Furnished,7,26,26.7,12.0
2985,1,1,1.0,Powai,19,1.0,Furnished,15,23,38.0,10.0
2168,2,2,2.0,Bandra,28,1.0,Semi-Furnished,2,6,21.4,14.43
1994,2,2,2.0,Andheri,12,2.0,Furnished,26,30,26.3,16.27
2096,3,2,1.0,Andheri,7,1.0,Furnished,3,5,19.4,14.73
962,3,4,2.0,Worli,7,0.0,Unfurnished,1,3,27.4,19.71
2967,1,1,1.0,Andheri,7,0.0,Semi-Furnished,20,29,17.7,10.0
775,4,4,0.0,Powai,23,1.0,Unfurnished,6,8,5.9,21.57
2998,4,4,0.0,Borivali,0,,Unfurnished,3,8,39.5,12.82
4000,2,2,0.0,Bandra,29,0.0,Unfurnished,19,25,29.0,10.0
3151,3,3,1.0,Bandra,24,1.0,Semi-Furnished,4,19,24.5,19.43
2039,2,1,1.0,Bandra,11,0.0,Unfurnished,4,17,19.5,10.0
1532,2,3,2.0,Borivali,21,1.0,Unfurnished,25,30,28.6,10.93
3541,3,3,0.0,Worli,4,1.0,Unfurnished,3,4,5.5,26.99
1326,1,2,3.0,Andheri,13,,Semi-Furnished,1,28,13.4,10.0
2137,4,5,0.0,Powai,3,1.0,Furnished,6,9,5.4,25.91
3175,4,5,1.0,Bandra,3,1.0,Furnished,6,20,5.5,36.12
3721,4,4,3.0,Worli,0,1.0,Semi-Furnished,3,11,1.3,37.73
3716,3,3,2.0,Powai,24,0.0,Unfurnished,4,10,30.4,10.0
716,3,3,2.0,Worli,23,1.0,Furnished,5,11,9.5,22.3
3634,5,5,2.0,Dadar,27,0.0,Unfurnished,16,18,33.4,16.97
810,2,2,0.0,Worli,30,1.0,Furnished,12,27,36.2,13.73
2504,1,1,0.0,Bandra,29,0.0,Semi-Furnished,1,5,7.2,10.0
3747,3,2,1.0,Andheri,30,2.0,Semi-Furnished,17,21,28.5,16.9
2757,2,3,0.0,Andheri,0,0.0,Unfurnished,14,26,18.7,10.0
3811,2,2,1.0,Navi Mumbai,24,2.0,Unfurnished,0,23,36.8,11.8
1639,1,2,1.0,Dadar,22,2.0,Semi-Furnished,19,30,19.6,15.97
1533,3,3,3.0,Borivali,5,1.0,Semi-Furnished,1,2,15.5,14.16
1574,2,2,2.0,Powai,4,1.0,Furnished,7,12,12.1,14.23
1678,2,3,2.0,Andheri,30,1.0,Semi-Furnished,2,14,36.2,10.05
2858,1,2,2.0,Dadar,27,2.0,Semi-Furnished,8,17,9.4,16.63
2029,2,2,0.0,Andheri,10,1.0,Unfurnished,7,11,33.2,10.0
3055,4,5,0.0,Thane,2,1.0,Semi-Furnished,6,9,8.2,18.9
1898,2,2,2.0,Dadar,10,0.0,Unfurnished,18,26,25.9,10.0
1508,3,4,2.0,Nashik,0,1.0,Semi-Furnished,8,8,18.3,10.0
1084,3,3,1.0,Borivali,21,0.0,Semi-Furnished,15,29,4.6,10.13
2384,2,2,1.0,Bandra,11,0.0,Furnished,1,3,5.5,11.64
3635,4,4,1.0,Borivali,1,0.0,Semi-Furnished,8,14,11.6,15.84
3493,3,2,1.0,Bandra,30,1.0,Unfurnished,6,19,30.8,16.52
1312,3,3,1.0,Powai,25,2.0,Furnished,9,30,29.3,18.42
2119,1,1,1.0,Dadar,28,1.0,Semi-Furnished,17,24,8.6,10.17
2939,1,1,2.0,Andheri,30,0.0,Semi-Furnished,0,2,19.3,10.0
2605,5,5,3.0,Bandra,0,1.0,Semi-Furnished,17,23,4.3,40.68
641,3,3,1.0,Andheri,24,1.0,Furnished,8,11,28.8,12.77
2528,4,4,2.0,Nashik,24,1.0,Unfurnished,25,26,31.8,10.0
539,4,4,2.0,Pune,24,0.0,Semi-Furnished,3,24,35.8,10.0
819,1,1,0.0,Worli,8,1.0,Furnished,2,7,35.5,10.26
2754,3,2,2.0,Borivali,12,,Unfurnished,10,12,13.8,13.64
769,3,3,1.0,Navi Mumbai,28,2.0,Furnished,11,25,10.6,15.76
1620,3,3,1.0,Andheri,2,1.0,Semi-Furnished,18,28,35.9,14.59
2518,1,1,0.0,Nashik,19,0.0,Unfurnished,14,19,6.3,10.0
2760,2,2,3.0,Thane,24,1.0,Unfurnished,7,8,2.8,10.09
2005,3,2,3.0,Navi Mumbai,24,0.0,Furnished,3,13,12.9,10.0
738,3,4,0.0,Dadar,18,2.0,Furnished,6,25,30.5,22.93
3277,3,3,1.0,Borivali,23,1.0,Unfurnished,9,19,27.9,12.41
3820,2,2,0.0,Nashik,28,0.0,Unfurnished,4,7,39.5,10.0
3600,2,2,2.0,Andheri,23,1.0,Unfurnished,9,10,14.7,12.22
3095,5,4,1.0,Navi Mumbai,3,0.0,Unfurnished,0,7,11.4,14.75
1848,2,2,0.0,Pune,7,0.0,Semi-Furnished,3,15,15.4,10.0
3555,2,1,2.0,Pune,9,1.0,Unfurnished,13,14,31.4,10.0
2157,3,4,1.0,Andheri,10,1.0,Unfurnished,11,17,9.0,17.64
891,2,2,1.0,Andheri,11,1.0,Unfurnished,20,29,37.9,10.95
3462,3,3,1.0,Thane,6,1.0,Semi-Furnished,5,20,20.7,12.14
1552,2,2,1.0,Thane,21,0.0,Semi-Furnished,11,18,31.4,10.0
3780,4,4,1.0,Pune,3,1.0,Semi-Furnished,4,12,33.2,11.64
1726,4,4,1.0,Borivali,24,1.0,Semi-Furnished,15,20,19.4,15.2
3530,4,4,1.0,Borivali,20,0.0,Furnished,2,29,29.8,11.89
2334,3,4,,Pune,29,2.0,Semi-Furnished,0,2,14.9,12.96
2083,2,1,1.0,Pune,0,2.0,Furnished,8,12,32.5,10.0
1469,3,2,3.0,Andheri,9,0.0,Semi-Furnished,2,3,33.0,10.0
3409,4,4,1.0,Navi Mumbai,27,1.0,Unfurnished,6,7,22.9,14.82
618,3,3,2.0,Thane,15,1.0,Furnished,3,3,9.1,12.86
2088,3,4,1.0,Bandra,17,0.0,Semi-Furnished,0,19,38.8,14.03
1728,3,4,2.0,Pune,0,1.0,Semi-Furnished,2,25,37.9,10.71
2356,3,4,1.0,Pune,23,0.0,Unfurnished,10,29,25.0,10.0
1316,3,3,0.0,Andheri,7,0.0,Semi-Furnished,8,8,39.4,10.08
2793,2,2,0.0,Navi Mumbai,29,2.0,Furnished,10,22,20.4,12.68
1789,3,3,0.0,Navi Mumbai,11,1.0,Unfurnished,10,11,15.3,13.94
1077,3,3,3.0,Dadar,5,0.0,Unfurnished,0,11,18.7,14.79
1109,1,1,3.0,Borivali,18,1.0,Unfurnished,19,19,2.3,10.0
2908,4,4,2.0,Borivali,14,2.0,Semi-Furnished,1,21,22.2,18.16
1343,3,3,0.0,Thane,14,1.0,Furnished,15,18,26.8,10.27
1506,2,3,2.0,Worli,29,2.0,Semi-Furnished,4,4,4.8,27.2
2657,4,4,,Navi Mumbai,11,2.0,Furnished,4,13,10.6,22.16
1587,3,4,1.0,Pune,12,1.0,Semi-Furnished,3,10,29.0,10.42
1797,3,3,1.0,Borivali,19,1.0,Semi-Furnished,1,2,31.8,12.4
1280,2,1,2.0,Thane,5,1.0,Unfurnished,2,3,39.4,10.0
1643,4,4,0.0,Navi Mumbai,25,1.0,Unfurnished,1,15,10.5,17.1
2894,2,2,1.0,Dadar,7,1.0,Semi-Furnished,1,4,33.7,13.24
2322,3,3,2.0,Powai,7,,Unfurnished,18,23,7.3,14.41
3992,1,1,0.0,Powai,0,0.0,Unfurnished,3,3,5.7,10.0
3179,3,3,1.0,Navi Mumbai,10,1.0,Furnished,1,8,29.3,11.5
460,3,4,1.0,Navi Mumbai,18,1.0,Semi-Furnished,27,30,18.1,14.18
1764,3,3,2.0,Worli,21,1.0,Unfurnished,19,22,31.9,21.03
1443,3,3,3.0,Thane,27,1.0,Semi-Furnished,16,18,11.7,12.13
2515,4,4,2.0,Worli,24,0.0,Semi-Furnished,0,2,8.9,20.28
1356,3,3,2.0,Navi Mumbai,9,0.0,Furnished,2,3,22.2,10.0
3879,2,2,1.0,Andheri,25,1.0,Semi-Furnished,4,28,5.1,12.42
1478,5,5,2.0,Bandra,6,1.0,Unfurnished,5,25,11.5,35.87
2279,3,3,1.0,Powai,6,1.0,Unfurnished,2,29,7.1,20.1
842,5,5,0.0,Bandra,11,0.0,Unfurnished,12,25,13.1,28.6
3676,5,5,2.0,Thane,16,1.0,Semi-Furnished,2,2,30.7,16.26
3683,4,4,2.0,Thane,6,2.0,Semi-Furnished,5,25,5.3,21.65
3258,3,4,1.0,Andheri,27,0.0,Semi-Furnished,2,15,24.7,10.1
1666,3,3,2.0,Thane,8,0.0,Semi-Furnished,6,22,23.6,10.0
611,2,2,2.0,Dadar,12,1.0,Unfurnished,2,14,21.8,13.84
2960,3,3,1.0,Bandra,18,1.0,Unfurnished,19,22,19.6,21.27
1945,3,3,0.0,Worli,13,2.0,Unfurnished,4,26,26.7,28.83
3966,3,3,0.0,Powai,12,2.0,Semi-Furnished,8,30,34.1,20.0
2914,4,4,1.0,Pune,30,1.0,Semi-Furnished,5,17,6.9,13.11
2339,2,2,1.0,Andheri,13,0.0,Furnished,2,10,32.7,10.0
3953,2,2,0.0,Borivali,3,1.0,Unfurnished,18,19,2.9,14.79
3282,3,3,0.0,Andheri,22,2.0,Semi-Furnished,3,16,19.5,19.13
2050,2,3,1.0,Thane,21,1.0,Unfurnished,3,7,20.7,10.0
467,2,2,2.0,Nashik,6,2.0,Semi-Furnished,13,23,8.3,10.0
734,2,2,2.0,Nashik,26,1.0,Unfurnished,1,4,4.0,10.0
1997,4,5,1.0,Worli,12,0.0,Semi-Furnished,6,13,3.5,29.31
2423,3,4,0.0,Thane,4,1.0,Unfurnished,3,22,2.0,16.58
508,1,1,0.0,Borivali,5,1.0,Unfurnished,14,28,23.2,10.0
855,1,2,0.0,Dadar,22,0.0,Semi-Furnished,0,19,6.6,10.0
2936,3,3,1.0,Pune,6,1.0,Semi-Furnished,13,30,32.4,10.89
3106,2,2,0.0,Borivali,14,1.0,Semi-Furnished,9,26,36.0,10.0
507,3,4,1.0,Bandra,22,0.0,Unfurnished,3,8,12.1,17.01
2228,3,3,3.0,Andheri,26,1.0,Furnished,2,26,7.0,15.06
691,2,2,1.0,Navi Mumbai,15,1.0,Unfurnished,11,11,16.7,10.48
3005,3,3,2.0,Andheri,28,1.0,Semi-Furnished,0,20,35.3,12.4
3403,2,2,0.0,Andheri,9,1.0,Furnished,1,7,16.3,12.62
3530,2,1,1.0,Worli,27,2.0,Semi-Furnished,1,17,,25.12
2554,4,5,3.0,Nashik,7,2.0,Unfurnished,21,21,39.4,10.64
2664,3,3,1.0,Navi Mumbai,1,1.0,Semi-Furnished,9,28,20.2,14.96
3736,4,4,2.0,Worli,22,0.0,Unfurnished,12,29,14.0,23.18
2605,2,2,3.0,Nashik,23,1.0,Semi-Furnished,19,25,35.8,10.0
2007,2,2,1.0,Andheri,28,0.0,Semi-Furnished,0,18,37.1,10.0
3117,3,3,1.0,Pune,28,1.0,Furnished,1,27,20.1,10.21
2527,3,4,1.0,Pune,3,,Furnished,1,5,12.6,12.61
3433,5,5,0.0,Bandra,19,1.0,Unfurnished,21,30,19.6,33.17
2289,2,2,0.0,Dadar,21,1.0,Unfurnished,7,7,9.2,14.07
3529,4,4,0.0,Pune,18,1.0,Semi-Furnished,8,13,19.4,12.75
561,4,4,2.0,Pune,0,2.0,Semi-Furnished,25,28,9.6,18.17
531,3,2,2.0,Andheri,1,0.0,Semi-Furnished,20,22,25.1,11.37
756,2,2,1.0,Andheri,20,,Semi-Furnished,7,26,30.5,15.01
2402,3,3,1.0,Powai,26,0.0,Semi-Furnished,4,21,38.8,10.0
2953,2,2,2.0,Bandra,5,1.0,Furnished,3,19,33.8,16.12
1178,3,4,3.0,Andheri,1,2.0,Semi-Furnished,6,7,3.9,27.33
960,3,3,1.0,Thane,12,1.0,Unfurnished,20,30,8.9,13.12
3498,4,4,1.0,Navi Mumbai,9,0.0,Unfurnished,18,20,21.5,13.63
3102,3,3,2.0,Navi Mumbai,30,1.0,Semi-Furnished,11,21,10.7,13.38
2734,3,3,2.0,Navi Mumbai,28,1.0,Unfurnished,14,14,1.1,13.82
2158,3,4,3.0,Bandra,17,1.0,Unfurnished,26,29,30.3,21.2
1913,3,3,1.0,Andheri,29,1.0,Unfurnished,12,15,14.6,16.04
473,4,4,0.0,Powai,7,1.0,Semi-Furnished,6,7,3.1,24.28
1077,2,2,1.0,Borivali,30,0.0,Furnished,0,7,20.6,10.0
3630,5,5,1.0,Borivali,13,,Semi-Furnished,17,22,39.1,18.36
1620,4,4,2.0,Borivali,14,1.0,Unfurnished,22,23,27.3,16.24
2937,4,4,0.0,Dadar,1,0.0,Semi-Furnished,2,7,6.8,21.64
2934,3,3,2.0,Bandra,5,1.0,Semi-Furnished,18,22,20.8,24.94
1514,4,4,3.0,Thane,6,1.0,Furnished,10,30,36.1,13.85
1135,2,3,3.0,Navi Mumbai,15,2.0,Semi-Furnished,3,17,2.6,17.15
2890,3,3,,Thane,5,1.0,Semi-Furnished,22,30,25.7,13.18
736,2,1,3.0,Powai,3,1.0,Furnished,1,6,29.0,10.81
2181,2,2,0.0,Pune,18,1.0,Semi-Furnished,6,13,28.3,10.0
3597,2,3,1.0,Dadar,27,1.0,Unfurnished,17,18,6.4,17.38
2961,2,2,0.0,Powai,2,1.0,Semi-Furnished,2,12,36.3,11.86
3151,2,2,3.0,Navi Mumbai,17,1.0,Semi-Furnished,0,4,13.2,10.81
699,4,5,3.0,Powai,29,1.0,Semi-Furnished,15,15,2.5,21.9
1119,2,2,0.0,Navi Mumbai,12,1.0,Furnished,9,11,3.8,12.0
1390,3,4,0.0,Powai,5,0.0,Unfurnished,3,7,18.6,13.55
1452,1,1,1.0,Thane,2,0.0,Semi-Furnished,5,12,2.1,10.0
1098,3,3,1.0,Navi Mumbai,29,1.0,Unfurnished,14,14,31.3,10.79
3900,3,3,2.0,Navi Mumbai,12,1.0,Unfurnished,20,27,34.7,11.68
994,2,2,0.0,Andheri,3,1.0,Semi-Furnished,15,16,1.0,14.29
2950,3,3,2.0,Pune,26,1.0,Furnished,1,14,32.5,10.0
2512,4,4,1.0,Powai,24,1.0,Semi-Furnished,7,13,39.3,15.49
2598,4,5,1.0,Borivali,21,1.0,Unfurnished,14,19,1.7,20.89
1172,2,2,0.0,Andheri,2,,Unfurnished,0,9,29.1,11.33
1507,3,3,3.0,Thane,2,2.0,Semi-Furnished,14,27,40.0,12.93
2584,3,3,2.0,Andheri,6,0.0,Semi-Furnished,0,14,32.0,10.78
1477,2,2,1.0,Bandra,4,,Furnished,13,14,20.5,16.68
2899,4,4,1.0,Powai,16,0.0,Semi-Furnished,2,3,35.5,14.54
542,2,2,3.0,Pune,12,,Furnished,5,27,28.5,10.0
662,4,4,2.0,Thane,23,1.0,Furnished,8,15,12.1,14.33
3023,1,1,2.0,Borivali,3,,Semi-Furnished,0,5,9.4,10.0
2620,1,1,2.0,Bandra,22,1.0,Semi-Furnished,5,6,20.7,12.44
555,5,5,2.0,Thane,28,1.0,Semi-Furnished,2,12,15.2,15.34
3637,4,5,1.0,Dadar,4,0.0,Furnished,15,24,13.5,22.04
417,4,4,2.0,Borivali,20,1.0,Semi-Furnished,0,4,7.5,18.12
3840,5,5,1.0,Nashik,15,0.0,Semi-Furnished,0,5,33.9,10.0
3026,2,2,1.0,Borivali,2,2.0,Semi-Furnished,18,18,28.3,13.33
3958,2,2,3.0,Pune,9,1.0,Semi-Furnished,6,16,13.6,10.0
3816,2,1,3.0,Dadar,24,1.0,Furnished,3,29,9.9,13.21
1527,3,4,1.0,Powai,26,2.0,Furnished,16,23,5.6,23.32
3124,2,3,1.0,Dadar,11,1.0,Unfurnished,4,21,4.9,16.97
1159,4,4,2.0,Nashik,3,1.0,Unfurnished,7,11,25.2,10.0
2098,1,1,3.0,Worli,7,0.0,Furnished,17,20,4.8,10.0
1264,2,1,2.0,Powai,26,1.0,Semi-Furnished,12,18,38.4,10.0
2150,2,2,0.0,Andheri,17,2.0,Furnished,2,10,11.5,15.21
3541,2,2,1.0,Dadar,13,2.0,Unfurnished,3,12,1.5,22.06
1970,2,2,2.0,Pune,0,1.0,Furnished,6,29,34.3,10.0
732,3,2,2.0,Navi Mumbai,24,0.0,Semi-Furnished,11,17,15.0,10.0
1569,2,2,2.0,Borivali,14,0.0,Unfurnished,10,15,14.0,10.0
3232,3,3,2.0,Nashik,16,2.0,Unfurnished,13,25,5.2,10.07
2278,4,4,1.0,Nashik,26,0.0,Semi-Furnished,3,9,26.6,10.0
2417,3,3,1.0,Thane,17,1.0,Unfurnished,0,8,14.7,11.7
1952,3,3,2.0,Dadar,28,1.0,Furnished,25,30,33.0,16.12
1454,2,2,1.0,Dadar,17,1.0,Semi-Furnished,17,25,25.4,12.79
2554,2,3,2.0,Thane,10,1.0,Semi-Furnished,9,14,35.3,10.0
2679,2,2,2.0,Andheri,28,2.0,Unfurnished,3,29,25.1,13.53
3634,5,4,2.0,Bandra,19,1.0,Furnished,3,12,31.3,24.12
2624,3,3,1.0,Worli,23,1.0,Semi-Furnished,6,21,28.0,19.45
3983,2,2,2.0,Pune,7,1.0,Furnished,2,3,18.8,10.0
3376,3,3,0.0,Nashik,20,2.0,Furnished,18,22,27.7,10.0
683,4,4,0.0,Pune,17,1.0,Semi-Furnished,6,7,26.7,12.3
1812,3,2,1.0,Nashik,3,1.0,Furnished,4,8,0.8,10.0
1785,3,3,0.0,Pune,7,1.0,Semi-Furnished,9,25,28.1,10.0
410,4,4,3.0,Worli,28,0.0,Semi-Furnished,3,7,10.9,21.36
1050,3,3,3.0,Bandra,17,0.0,Unfurnished,11,15,21.9,14.14
3144,3,2,0.0,Navi Mumbai,24,2.0,Unfurnished,9,28,4.9,17.79
1667,2,2,2.0,Worli,5,1.0,Semi-Furnished,12,29,1.4,21.15
932,2,2,1.0,Powai,6,0.0,Unfurnished,11,14,1.1,10.0
1435,5,5,2.0,Worli,29,0.0,Semi-Furnished,2,4,6.7,26.56
1389,3,3,2.0,Bandra,13,2.0,Furnished,5,10,1.3,32.81
1028,2,1,1.0,Pune,27,1.0,Semi-Furnished,14,19,5.7,10.0
764,3,3,0.0,Bandra,25,1.0,Unfurnished,3,11,22.6,16.54
3151,1,1,0.0,Andheri,10,0.0,Semi-Furnished,1,22,16.3,10.0
3369,4,4,1.0,Borivali,29,2.0,Unfurnished,24,30,39.2,15.18
2187,2,2,3.0,Dadar,24,2.0,Furnished,9,20,32.4,15.96
2616,4,3,1.0,Worli,3,1.0,Semi-Furnished,6,20,6.3,32.72
3710,3,3,,Powai,2,1.0,Semi-Furnished,1,17,17.0,17.81
3434,2,2,0.0,Dadar,3,1.0,Semi-Furnished,7,7,17.5,15.85
517,1,1,,Worli,22,1.0,Semi-Furnished,13,18,14.8,12.93
3831,4,4,1.0,Bandra,4,1.0,Unfurnished,8,29,20.1,27.05
641,2,2,2.0,Andheri,8,2.0,Unfurnished,13,21,27.0,14.63
495,1,1,2.0,Borivali,13,1.0,Semi-Furnished,11,23,25.8,10.0
1852,3,3,1.0,Powai,4,1.0,Furnished,9,27,14.6,16.91
3085,2,2,0.0,Bandra,10,1.0,Unfurnished,4,13,28.3,15.18
689,2,1,1.0,Navi Mumbai,21,1.0,Unfurnished,0,11,11.9,10.0
1455,2,2,1.0,Borivali,30,0.0,Unfurnished,30,30,33.5,10.0
1346,4,4,2.0,Bandra,14,0.0,Semi-Furnished,14,15,38.6,17.66
1830,2,3,2.0,Pune,23,1.0,Unfurnished,20,23,12.1,10.0
3950,2,2,1.0,Powai,16,1.0,Furnished,6,20,31.5,12.68
1593,2,2,1.0,Borivali,14,1.0,Unfurnished,5,5,32.6,10.0
1152,2,2,0.0,Andheri,16,0.0,Semi-Furnished,3,11,19.9,10.0
840,2,2,1.0,Powai,29,1.0,Unfurnished,9,11,4.0,12.55
1113,1,1,2.0,Thane,1,0.0,Semi-Furnished,0,7,31.6,10.0
879,2,3,2.0,Powai,15,1.0,Unfurnished,7,24,16.6,14.1
2465,2,2,2.0,Thane,1,1.0,Semi-Furnished,17,30,8.7,10.25
1914,4,4,0.0,Borivali,27,1.0,Furnished,30,30,25.3,15.94
2193,1,1,1.0,Pune,18,1.0,Unfurnished,2,7,17.8,10.0
3396,2,2,1.0,Thane,1,0.0,Furnished,6,15,4.0,10.0
2490,4,3,3.0,Powai,19,1.0,Unfurnished,7,8,39.4,16.02
958,4,4,2.0,Andheri,13,2.0,Semi-Furnished,1,3,10.2,24.97
1756,3,3,3.0,Bandra,1,1.0,Semi-Furnished,13,19,20.7,22.94
1525,2,2,0.0,Thane,30,0.0,Unfurnished,11,26,26.9,10.0
3377,2,2,1.0,Dadar,11,1.0,Semi-Furnished,0,4,5.0,15.65
1505,2,2,2.0,Worli,0,0.0,Unfurnished,5,20,29.7,11.8
899,2,3,1.0,Nashik,18,0.0,Semi-Furnished,1,2,26.1,10.0
3050,2,2,2.0,Thane,11,0.0,Semi-Furnished,0,26,20.0,10.0
1942,3,4,1.0,Pune,20,0.0,Furnished,0,3,21.4,10.0
745,2,2,3.0,Andheri,5,0.0,Unfurnished,14,14,38.2,10.0
2883,3,4,0.0,Navi Mumbai,25,1.0,Furnished,0,5,36.5,10.97
1158,2,2,3.0,Nashik,13,0.0,Unfurnished,3,13,4.9,10.0
3526,2,2,1.0,Dadar,13,1.0,Semi-Furnished,9,14,15.1,14.79
3397,3,3,1.0,Borivali,24,2.0,Unfurnished,10,17,20.9,17.0
1730,4,5,1.0,Pune,16,1.0,Unfurnished,5,26,36.8,10.6
2400,2,2,1.0,Powai,0,1.0,Unfurnished,1,30,32.8,11.53
2444,3,3,3.0,Navi Mumbai,17,1.0,Semi-Furnished,10,11,15.8,12.83
